 Year,Rainfall,Humidity,Min Temperature,Max Temperature,Moisture level,Location,Min Ph,Max Ph,NP,Moderate temperature,Moderate,Moderate rainfall,Crop,Investment,Total Obtained,Profit,Yield In Quintal,Cost per quintal,Area,Per Acre,CProfit,Production,Seed cost per KG,Seeds Per hectare,Seeds Cost,Fetilizers per kg,Fetilizers per hectare,Fertilizers cost,Harvest per Acre,Others,rain
2001,503,0.23,27,34,32,Bijapur,8,7,100:150,30.5,0.23,30-65 cms,Jowar,1661,,40036,686,,Indi,15093,16461,746,15.23,1313,19996.99,65,45,2925,34486,11840,503
2001,655,0.23,27,34,28,Chitradurga,6,7,100:150,30.5,0.23,30-65 cms,Jowar,1661,7959512,36887,2396,1661,Holalkere,12881,17023,781,15.74,1484,23358.16,67,53,3551,44275,10508,655
2001,611,0.23,27,34,27,Chitradurga,8,7,100:150,30.5,0.23,30-65 cms,Jowar,1662,,38868,669,,Hosadurga,12062,16987,762,18.29,1386,25349.94,62,53,3286,44418,13805,611
2001,659,0.23,27,34,30,Chitradurga,6,7,100:150,30.5,0.23,30-65 cms,Jowar,1662,,40439,671,,Hiriyur,11944,16376,853,15.41,1552,23916.32,68,48,3264,34892,12111,659
2001,819,0.23,27,34,30,Dharwad,8,7,100:150,30.5,0.23,30-65 cms,Jowar,1662,8246844,43638,2481,1662,Annigeri,14862,16541,890,18.68,1453,27142.04,59,54,3186,47416,11111,819
2001,853,0.23,27,34,29,Dharwad,7,7,100:150,30.5,0.23,30-65 cms,Jowar,1663,,39446,647,,Kundgol,13633,16894,861,15.62,1411,22039.82,56,49,2744,34680,12941,853
2001,810,0.23,27,34,31,Dharwad,6,7,100:150,30.5,0.23,30-65 cms,Jowar,1663,,36585,694,,Alnavar,15143,17122,730,15.16,1513,22937.08,66,47,3102,40722,10950,810
2001,629,0.23,27,34,29,Gulbarga,7,7,100:150,30.5,0.23,30-65 cms,Jowar,1663,7959118,36250,2393,1663,Chittapur,10670,16750,876,16.71,1373,22942.83,56,53,2968,39259,12198,629
2001,701,0.23,27,34,27,Gulbarga,8,7,100:150,30.5,0.23,30-65 cms,Jowar,1664,,40319,694,,Sedam,10772,16995,765,16.28,1559,25380.52,58,55,3190,44178,13537,701
2001,671,0.23,27,34,31,Gulbarga,7,7,100:150,30.5,0.23,30-65 cms,Jowar,1664,,41961,585,,Shahapur,14808,17069,752,18.52,1230,22779.6,74,46,3404,43090,11399,671
2001,706,0.23,27,34,30,Raichur,6,7,100:150,30.5,0.23,30-65 cms,Jowar,1664,7251712,41686,2179,1664,Devadurga,14739,16738,784,17.55,1398,24534.9,72,49,3528,46415,12209,706
2001,576,0.23,27,34,27,Raichur,7,7,100:150,30.5,0.23,30-65 cms,Jowar,#REF!,,#REF!,640,,Sindhanur,12414,16936,680,15.31,1513,23164.03,65,51,3315,42071,10804,576
2001,593,0.23,27,34,27,Raichur,6,7,100:150,30.5,0.23,30-65 cms,Jowar,#REF!,,#REF!,668,,Maski,14533,17121,715,17.42,1551,27018.42,58,51,2958,38391,13026,593
2002,1126,0.23,27,34,28,Belgaum,6,7,100:150,30.5,0.23,30-65 cms,Jowar,1665,7445880,37663,2236,1665,Chikkodi,10764,17003,781,15.33,1288,19745.04,61,49,2989,46557,11520,1126
2002,1167,0.23,27,34,32,Belgaum,6,7,100:150,30.5,0.23,30-65 cms,Jowar,1666,,42179,664,,Khanapur,13925,16890,757,18.27,1343,24536.61,56,50,2800,33020,13436,1167
2002,1180,0.23,27,34,31,Belgaum,7,7,100:150,30.5,0.23,30-65 cms,Jowar,1666,,40934,716,,Raybag ,12974,16249,698,18.17,1337,24293.29,55,55,3025,35750,10801,1180
2002,845,0.23,27,34,29,Bidar,6,7,100:150,30.5,0.23,30-65 cms,Jowar,1666,7783552,41183,2336,1666,Humnabad,15280,16716,821,16.73,1575,26349.75,74,47,3478,35441,10731,845
2002,812,0.23,27,34,28,Bidar,7,7,100:150,30.5,0.23,30-65 cms,Jowar,1667,,38705,695,,Aurad,12680,16576,724,16.7,1344,22444.8,60,45,2700,40806,11114,812
2002,680,0.23,27,34,27,Bidar,8,7,100:150,30.5,0.23,30-65 cms,Jowar,1667,,38659,614,,Chitgoppa,13223,16562,791,16.42,1394,22889.48,67,50,3350,41319,10923,680
2002,533,0.23,27,34,30,Bijapur,7,7,100:150,30.5,0.23,30-65 cms,Jowar,1667,8111622,36382,2433,1667,Sindgi,12802,17016,873,18.34,1320,24208.8,56,52,2912,46915,11593,533
2002,492,0.23,27,34,28,Bijapur,6,7,100:150,30.5,0.23,30-65 cms,Jowar,1668,,34734,685,,Muddebihal,12634,16469,772,15.24,1302,19842.48,67,55,3685,36793,12209,492
2002,454,0.23,27,34,31,Bijapur,6,7,100:150,30.5,0.23,30-65 cms,Jowar,1668,,33333,675,,Indi,10946,16614,788,15.66,1588,24868.08,66,45,2970,38363,10644,454
2002,514,0.23,27,34,29,Chitradurga,7,7,100:150,30.5,0.23,30-65 cms,Jowar,1668,7836264,33426,2349,1668,Holalkere,11154,16207,858,18.36,1507,27668.52,70,48,3360,46046,12112,514
2002,611,0.23,27,34,32,Chitradurga,7,7,100:150,30.5,0.23,30-65 cms,Jowar,1669,,36381,636,,Hosadurga,11233,17031,792,18.75,1211,22706.25,73,49,3577,43012,10299,611
2002,579,0.23,27,34,32,Chitradurga,6,7,100:150,30.5,0.23,30-65 cms,Jowar,1669,,40627,649,,Hiriyur,11039,16497,699,15.52,1245,19322.4,66,55,3630,46782,12181,579
2002,851,0.23,27,34,29,Dharwad,7,7,100:150,30.5,0.23,30-65 cms,Jowar,1669,7600626,42243,2277,1669,Annigeri,14109,16580,688,15.13,1350,20425.5,58,48,2784,36641,11994,851
2002,837,0.23,27,34,31,Dharwad,7,7,100:150,30.5,0.23,30-65 cms,Jowar,1670,,40519,697,,Kundgol,15479,17028,702,15.31,1235,18907.85,61,46,2806,34121,13439,837
2002,871,0.23,27,34,30,Dharwad,8,7,100:150,30.5,0.23,30-65 cms,Jowar,1670,,40645,607,,Alnavar,12655,17047,887,15.63,1272,19881.36,59,52,3068,43419,10315,871
2002,715,0.23,27,34,27,Gulbarga,8,7,100:150,30.5,0.23,30-65 cms,Jowar,1670,8283200,41772,2480,1670,Chittapur,12385,16528,850,16.38,1289,21113.82,63,54,3402,36143,11589,715
2002,889,0.23,27,34,32,Gulbarga,6,7,100:150,30.5,0.23,30-65 cms,Jowar,1671,,44102,707,,Sedam,15605,16871,733,16.49,1554,25625.46,73,52,3796,36069,13922,889
2002,617,0.23,27,34,29,Gulbarga,8,7,100:150,30.5,0.23,30-65 cms,Jowar,1671,,39099,645,,Shahapur,13782,16415,897,16.51,1441,23790.91,66,46,3036,33143,10577,617
2002,570,0.23,27,34,29,Raichur,7,7,100:150,30.5,0.23,30-65 cms,Jowar,1671,8304870,40254,2485,1671,Devadurga,14715,16420,844,16.38,1380,22604.4,57,49,2793,40451,12142,570
2002,684,0.23,27,34,30,Raichur,8,7,100:150,30.5,0.23,30-65 cms,Jowar,#REF!,,#REF!,624,,Sindhanur,10602,16617,787,17.44,1256,21904.64,67,47,3149,35406,13734,684
2002,633,0.23,27,34,31,Raichur,8,7,100:150,30.5,0.23,30-65 cms,Jowar,#REF!,,#REF!,618,,Maski,14937,16810,854,17.74,1494,26503.56,62,51,3162,47044,13606,633
2003,1047,0.23,27,34,27,Belgaum,7,7,100:150,30.5,0.23,30-65 cms,Jowar,1672,8122576,39250,2429,1672,Chikkodi,13702,16246,822,15.64,1521,23788.44,67,55,3685,35983,13207,1047
2003,950,0.23,27,34,32,Belgaum,7,7,100:150,30.5,0.23,30-65 cms,Jowar,1673,,36794,689,,Khanapur,14129,16966,863,17.31,1458,25237.98,63,50,3150,42639,12147,950
2003,1114,0.23,27,34,31,Belgaum,8,7,100:150,30.5,0.23,30-65 cms,Jowar,1673,,36632,683,,Raybag ,11419,16448,744,18.66,1291,24090.06,55,47,2585,39721,13482,1114
2003,630,0.23,27,34,30,Bidar,6,7,100:150,30.5,0.23,30-65 cms,Jowar,1673,8381730,40671,2505,1673,Humnabad,11246,16866,885,17.46,1225,21388.5,61,50,3050,39880,10885,630
2003,674,0.23,27,34,32,Bidar,6,7,100:150,30.5,0.23,30-65 cms,Jowar,1674,,44780,662,,Aurad,13967,16556,891,17.3,1457,25206.1,59,49,2891,44989,12768,674
2003,616,0.23,27,34,28,Bidar,7,7,100:150,30.5,0.23,30-65 cms,Jowar,1674,,44118,618,,Chitgoppa,15458,16386,729,17.25,1450,25012.5,74,52,3848,37878,13611,616
2003,463,0.23,27,34,32,Bijapur,7,7,100:150,30.5,0.23,30-65 cms,Jowar,1674,8349912,41651,2494,1674,Sindgi,15355,16212,869,17.5,1309,22907.5,72,45,3240,34712,11593,463
2003,472,0.23,27,34,30,Bijapur,7,7,100:150,30.5,0.23,30-65 cms,Jowar,1675,,38718,610,,Muddebihal,13305,16600,747,17.36,1476,25623.36,71,51,3621,45894,11808,472
